gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold60_1:hit:251107	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:251089	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:250999	0	0	0	0	0	0	0	0	0
scaffold6:hit:81296	0	0	0	0	0	0	0	0	0
scaffold6:hit:81290	0	0	0.28	0	0	0	0	0	0
scaffold6:hit:81187	15.87	16.49	15.46	19.74	18.72	14.63	13.17	17.44	18.76
scaffold6:hit:81170	12.69	15.7	14.6	16.06	21.13	12.12	13.37	16.91	16.8
scaffold6:hit:80981	0	0	0	0	0	0	0	0	0
scaffold6:hit:80980	9.09	14.44	9.38	11.99	17.6	11.58	9.47	21.96	15.93
scaffold6:hit:80928	3.35	3.14	3.47	3.7	3.19	4.83	3.31	4.06	5.47
scaffold6:hit:80835	0.1	11.73	5.49	11.29	25.63	14.02	19.04	53.07	27.07
scaffold6:hit:80690	0	0	0	0	0	0	0	0.37	0.33
scaffold6:hit:80678	1.09	1.36	1.05	2.53	0.75	0.72	1.56	1.2	1.04
scaffold6:hit:80669	0	4.29	4.09	0	0.58	2.44	0	1.04	0
scaffold6:hit:80667	12.24	47.17	32.08	3.45	9.97	10.18	5.91	67.29	40.87
scaffold6:hit:80535	4.19	3.85	2.35	7.31	5.47	5.08	4.57	5.43	4.08
scaffold6:hit:80534	0	0	0	0	0	0.03	0	0	0
scaffold6:hit:80520	0	0	0	0	0	0	0	0	0
scaffold6:hit:80377	0	0	0	0	0	0	4.64	0	0
scaffold6:hit:80373	0	0	0	0	0	0	0	0	0
scaffold6:hit:80252	0	0.13	0	0.14	0	0	0	0.06	0
scaffold6:hit:80078	0.16	4.97	2.33	4.36	11.28	5.21	7.07	26.18	10.27
scaffold6:hit:80075	8.77	0	0	0	0	0	0	0	0
scaffold6:hit:79989	0	0	0	0	0	0	0	0	0
scaffold6:hit:79987	42.37	49.62	54.31	43.53	37.79	66.82	38.35	37.07	49.46
scaffold6:hit:79927	0	0.86	0	0	0	0	0.76	0	0
scaffold6:hit:79836	0	29.35	15.29	26.08	65.99	41.31	54.25	135.66	56.84
scaffold6:hit:79721	0	8.67	2.85	5.9	16.34	5.24	7.77	33.32	16.84
scaffold6:hit:79691	85.01	93.98	77.58	52.38	51.53	64.94	47.22	47.35	70.4
scaffold6:hit:79583	0	10.6	0	4.76	13.96	2.43	7.14	29.88	8.23
scaffold6:hit:79461	123.94	92.15	71.34	110.69	90.7	26.04	53.06	105.64	37.77
scaffold6:hit:79347	14.83	13.74	17.45	20.24	21.33	19.36	17.6	15.74	17.16
